"","data.instansi","name","Agregat","Internal","Eksternal","Eksper"
"25","PEMERINTAH PROVINSI ACEH","DINAS LINGKUNGAN HIDUP DAN KEHUTANAN",NA,68.86,NA,64.92
"26","PEMERINTAH PROVINSI ACEH","DINAS PANGAN",NA,66.98,NA,64.92
"27","PEMERINTAH PROVINSI ACEH","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",NA,67.06,NA,64.92
"28","PEMERINTAH PROVINSI ACEH","DINAS PEMBERDAYAAN MASYARAKAT DAN GAMPONG",NA,71.21,NA,64.92
"29","PEMERINTAH PROVINSI ACEH","DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",NA,63.59,NA,64.92
"30","PEMERINTAH PROVINSI ACEH","DINAS PEMUDA DAN OLAH RAGA",NA,62.13,NA,64.92
"31","PEMERINTAH PROVINSI ACEH","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",67.9,70.53,90.93,64.92
"32","PEMERINTAH PROVINSI ACEH","DINAS PENDIDIKAN",67.1,67.11,91.67,64.92
"33","PEMERINTAH PROVINSI ACEH","DINAS PENDIDIKAN DAYAH",NA,52.85,NA,64.92
"34","PEMERINTAH PROVINSI ACEH","DINAS PENGAIRAN",NA,67.82,NA,64.92
"35","PEMERINTAH PROVINSI ACEH","DINAS PERHUBUNGAN",61.28,71.93,69.45,64.92
"36","PEMERINTAH PROVINSI ACEH","DINAS PERINDUSTRIAN DAN PERDAGANGAN",NA,70.05,NA,64.92
"37","PEMERINTAH PROVINSI ACEH","DINAS PERPUSTAKAAN DAN KEARSIPAN",NA,60.09,NA,64.92
"38","PEMERINTAH PROVINSI ACEH","DINAS PERTANAHAN",NA,51.18,NA,64.92
"39","PEMERINTAH PROVINSI ACEH","DINAS PERTANIAN DAN PERKEBUNAN",NA,67.87,NA,64.92
"40","PEMERINTAH PROVINSI ACEH","DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN",NA,61.83,NA,64.92
"41","PEMERINTAH PROVINSI ACEH","DINAS PETERNAKAN",NA,63.81,NA,64.92
"42","PEMERINTAH PROVINSI ACEH","DINAS REGISTRASI KEPENDUDUKAN",63.71,57.7,90.09,64.92
"43","PEMERINTAH PROVINSI ACEH","DINAS SOSIAL",69.77,70.44,96.72,64.92
"44","PEMERINTAH PROVINSI ACEH","DINAS SYARIAT ISLAM",NA,71.1,NA,64.92
"45","PEMERINTAH PROVINSI ACEH","DINAS TENAGA KERJA DAN MOBILITAS PENDUDUK",NA,67.53,NA,64.92
"46","PEMERINTAH PROVINSI ACEH","KERUKON KATIBUL WALI / SEKRETARIAT LEMBAGA WALI NANGGROE ACEH",NA,66.73,NA,64.92
"47","PEMERINTAH PROVINSI ACEH","SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISBAH ACEH",NA,70.69,NA,64.92
"48","PEMERINTAH PROVINSI ACEH","SEKRETARIAT BADAN REINTEGRASI ACEH",NA,52.35,NA,64.92
"49","PEMERINTAH PROVINSI ACEH","SEKRETARIAT BAITUL MAL ACEH",NA,71.1,NA,64.92
"50","PEMERINTAH PROVINSI ACEH","SEKRETARIAT DAERAH",66.19,71.72,84.61,64.92
"51","PEMERINTAH PROVINSI ACEH","SEKRETARIAT DPRA",NA,60.1,NA,64.92
"52","PEMERINTAH PROVINSI ACEH","SEKRETARIAT MAJELIS ADAT ACEH",NA,61.55,NA,64.92
"53","PEMERINTAH PROVINSI ACEH","SEKRETARIAT MAJELIS PENDIDIKAN ACEH",NA,65.4,NA,64.92
"54","PEMERINTAH PROVINSI ACEH","SEKRETARIAT MAJELIS PERMUSYAWARATAN ULAMA ACEH",NA,49.93,NA,64.92
"55","PEMERINTAH KABUPATEN SIMEULUE","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,72.58,NA,70.39
"56","PEMERINTAH KABUPATEN SIMEULUE","BADAN KESATUAN BANGSA DAN POLITIK",NA,66.88,NA,70.39
"57","PEMERINTAH KABUPATEN SIMEULUE","BADAN PENANGGULANGAN BENCANA DAERAH",NA,68.43,NA,70.39
"58","PEMERINTAH KABUPATEN SIMEULUE","BADAN PENGELOLAAN KEUANGAN DAERAH",77.63,76.81,90.23,70.39
"59","PEMERINTAH KABUPATEN SIMEULUE","BADAN PERENCANA PEMBANGUNAN DAERAH",NA,73.27,NA,70.39
"60","PEMERINTAH KABUPATEN SIMEULUE","DINAS KELAUTAN DAN PERIKANAN",NA,68.75,NA,70.39
"61","PEMERINTAH KABUPATEN SIMEULUE","DINAS KEPEMUDAAN DAN OLAH RAGA",NA,72.94,NA,70.39
"62","PEMERINTAH KABUPATEN SIMEULUE","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",75.11,63.07,95.31,70.39
"63","PEMERINTAH KABUPATEN SIMEULUE","DINAS KESEHATAN",74.55,73.76,83.69,70.39
"64","PEMERINTAH KABUPATEN SIMEULUE","DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN",NA,66.59,NA,70.39
"65","PEMERINTAH KABUPATEN SIMEULUE","DINAS LINGKUNGAN HIDUP",NA,78.54,NA,70.39
"66","PEMERINTAH KABUPATEN SIMEULUE","DINAS PARIWISATA DAN KEBUDAYAAN",NA,78.47,NA,70.39
"67","PEMERINTAH KABUPATEN SIMEULUE","DINAS PEKERJAAN UMUM DAN PENATAAN RUANGAN",71.19,59.21,86.95,70.39
"68","PEMERINTAH KABUPATEN SIMEULUE","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA",NA,74.94,NA,70.39
"69","PEMERINTAH KABUPATEN SIMEULUE","DINAS PEMBERDAYAAN PEREMPUAN, PELINDUNGAN ANAK DAN KELUARGA BERENCANA",NA,73.29,NA,70.39
"70","PEMERINTAH KABUPATEN SIMEULUE","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",73.58,75.31,79.29,70.39
"71","PEMERINTAH KABUPATEN SIMEULUE","DINAS PENDIDIKAN",NA,72.91,NA,70.39
"72","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERDAGANGAN, PERINDUSTRIAN, KOPERASI DAN USAHA KECIL MENEGAH",NA,74.74,NA,70.39
"73","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERHUBUNGAN",NA,67.87,NA,70.39
"74","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERKEBUNAN, PETERNAKAN DAN KESEHATAN HEWAN",NA,72.05,NA,70.39
"75","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERPUSTAKAAN DAN KEARSIPAN",NA,75.26,NA,70.39
"76","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERTANAHAN",NA,70.44,NA,70.39
"77","PEMERINTAH KABUPATEN SIMEULUE","DINAS PERTANIAN DAN PANGAN",NA,73.41,NA,70.39
"78","PEMERINTAH KABUPATEN SIMEULUE","DINAS SOSIAL",NA,84.59,NA,70.39
"79","PEMERINTAH KABUPATEN SIMEULUE","DINAS SYARIAT ISLAM DAN PENDIDIKAN DAYAH",NA,69.53,NA,70.39
"80","PEMERINTAH KABUPATEN SIMEULUE","DINAS TENAGA KERJA DAN TRANSMIGRASI",NA,74.48,NA,70.39
"81","PEMERINTAH KABUPATEN SIMEULUE","SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISBAH",NA,71.46,NA,70.39
"82","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT BAITUL MAL",NA,70.57,NA,70.39
"83","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT DAERAH",70.07,67.77,75.58,70.39
"84","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT DPRK",NA,77.1,NA,70.39
"85","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT MAJELIS ADAT ACEH",NA,69.53,NA,70.39
"86","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT MAJELIS PENDIDIKAN DAERAH",NA,73.36,NA,70.39
"87","PEMERINTAH KABUPATEN SIMEULUE","SEKRETARIAT MAJELIS PERMUSYAWARATAN ULAMA",NA,72.3,NA,70.39
"88","PEMERINTAH KABUPATEN ACEH SINGKIL","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,72.06,NA,68.19
"89","PEMERINTAH KABUPATEN ACEH SINGKIL","BADAN KESATUAN BANGSA DAN POLITIK",NA,74.14,NA,68.19
"90","PEMERINTAH KABUPATEN ACEH SINGKIL","BADAN PENANGGULANGAN BENCANA DAERAH",NA,51.24,NA,68.19
"91","PEMERINTAH KABUPATEN ACEH SINGKIL","BADAN PENGELOLAAN KEUANGAN KABUPATEN",69.06,66.26,76.76,68.19
"92","PEMERINTAH KABUPATEN ACEH SINGKIL","BADAN PERENCANAAN PEMBANGUNAN DAERAH",NA,73.62,NA,68.19
"93","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS KESEHATAN",69.44,65.29,78.8,68.19
"94","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS KOMUNIKASI DAN INFORMATIKA",NA,61.89,NA,68.19
"95","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS LINGKUNGAN HIDUP",NA,59.34,NA,68.19
"96","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PANGAN",NA,60.93,NA,68.19
"97","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PARIWISATA, PEMUDA DAN OLAH RAGA",NA,64.53,NA,68.19
"98","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT",60.46,65.3,51.43,68.19
"99","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PEMBERDAYAAN MASYARAKAT DAN KAMPUNG",NA,65.17,NA,68.19
"100","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",NA,64.08,NA,68.19
"101","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",66.82,67.63,68.66,68.19
"102","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PENDIDIKAN DAN KEBUDAYAAN",72.77,68.93,85.59,68.19
"103","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERHUBUNGAN",65.27,65.73,65.7,68.19
"104","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERIKANAN",74.04,69.62,88.82,68.19
"105","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI DAN UKM",NA,63.67,NA,68.19
"106","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERKEBUNAN",NA,67.71,NA,68.19
"107","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERPUSTAKAAN DAN ARSIP",NA,64.37,NA,68.19
"108","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS PERTANAHAN",NA,50.62,NA,68.19
"109","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS SOSIAL",65.48,61.43,70.31,68.19
"110","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS SYARIAT ISLAM DAN PENDIDIKAN DAYAH",NA,71.79,NA,68.19
"111","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PETERNAKAN",NA,68.73,NA,68.19
"112","PEMERINTAH KABUPATEN ACEH SINGKIL","DINAS TRANSMIGRASI DAN TENAGA KERJA",NA,65.93,NA,68.19
"113","PEMERINTAH KABUPATEN ACEH SINGKIL","KECAMATAN",NA,65,NA,68.19
"114","PEMERINTAH KABUPATEN ACEH SINGKIL","SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISBAH",NA,56.26,NA,68.19
"115","PEMERINTAH KABUPATEN ACEH SINGKIL","SEKRETARIAT DAERAH",NA,56.26,NA,68.19
"116","PEMERINTAH KABUPATEN ACEH SINGKIL","SEKRETARIAT DPRK",NA,64.94,NA,68.19
"117","PEMERINTAH KABUPATEN ACEH SINGKIL","SEKRETARIAT MAJELIS ADAT ACEH",NA,63.79,NA,68.19
"118","PEMERINTAH KABUPATEN ACEH SINGKIL","SEKRETARIAT MAJELIS PERMUSYAWARATAN ULAMA",NA,76.3,NA,68.19
"119","PEMERINTAH KABUPATEN ACEH SELATAN","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,77.73,NA,68
"120","PEMERINTAH KABUPATEN ACEH SELATAN","BADAN KESATUAN BANGSA DAN POLITIK",NA,66.51,NA,68
"121","PEMERINTAH KABUPATEN ACEH SELATAN","BADAN PENANGGULANGAN BENCANA DAERAH",NA,71.41,NA,68
"122","PEMERINTAH KABUPATEN ACEH SELATAN","BADAN PENGELOLAAN KEUANGAN DAERAH",NA,63.33,NA,68
"123","PEMERINTAH KABUPATEN ACEH SELATAN","BADAN PERENCANAAN PEMBANGUNAN DAERAH",NA,70.22,NA,68
"124","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS KELAUTAN DAN PERIKANAN",NA,74.33,NA,68
"125","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS KEPEMUDAAN DAN OLAHRAGA",NA,71.58,NA,68
"126","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS KEPENDUDUKAN DAN PENCATAAN SIPIL",NA,72.87,NA,68
"127","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS KESEHATAN",74.57,65.48,92.77,68
"128","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS KOMUNIKASI, INFORMASI DAN PERSANDIAN",NA,73.19,NA,68
"129","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS LINGKUNGAN HIDUP",NA,66.77,NA,68
"130","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PANGAN",NA,78.63,NA,68
"131","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PARIWISATA",NA,62.93,NA,68
"132","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",NA,68.6,NA,68
"133","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PEMBERDAYAAN MASYARAKAT DAN GAMPONG",NA,62.47,NA,68
"134","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PEMBERDAYAAN PEREMPUAN,PERLINDUNGAN ANAK DAN KELUARGA BERENCANA",NA,68.67,NA,68
"135","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",73.02,71.14,82.77,68
"136","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PENDIDIKAN DAN KEBUDAYAAN",74.95,68.42,91.19,68
"137","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PENDIDIKAN DAYAH",NA,68.25,NA,68
"138","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERDAGANGAN, PERINDUSTRIAN, KOPERASI DAN USAHA KECIL MENENGAH",NA,63.84,NA,68
"139","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERHUBUNGAN",NA,77.28,NA,68
"140","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERPUSTAKAAN DAN KEARSIPAN",NA,67.95,NA,68
"141","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERTANAHAN",NA,74.03,NA,68
"142","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERTANIAN",75.28,70.51,90.25,68
"143","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN",NA,69.61,NA,68
"144","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS SOSIAL",NA,77.56,NA,68
"145","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS SYARIAT ISLAM",64.9,66.09,62.7,68
"146","PEMERINTAH KABUPATEN ACEH SELATAN","DINAS TRANSMIGRASI DAN TENAGA KERJA",NA,73.26,NA,68
"147","PEMERINTAH KABUPATEN ACEH SELATAN","SEKRETARIAT DAERAH",72.66,65.69,86.74,68
"148","PEMERINTAH KABUPATEN ACEH TENGGARA","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",70.01,74.34,80.79,70.49
"149","PEMERINTAH KABUPATEN ACEH TENGGARA","BADAN KESATUAN BANGSA DAN POLITIK",71.6,71.22,88.54,70.49
"150","PEMERINTAH KABUPATEN ACEH TENGGARA","BADAN PENANGGULANGAN BENCANA DAERAH",70.28,64.61,90.66,70.49
"151","PEMERINTAH KABUPATEN ACEH TENGGARA","BADAN PENGELOLAAN KEUANGAN DAERAH",70.88,70.12,87.39,70.49
"152","PEMERINTAH KABUPATEN ACEH TENGGARA","BADAN PERENCANAAN PEMBANGUNAN DAERAH",70.82,69.87,87.42,70.49
"153","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",72.56,77.06,86.07,70.49
"154","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS KESEHATAN",70.78,68.75,88.33,70.49
"155","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS KOMUNIKASI DAN INFORMATIKA",72.59,70.26,92.47,70.49
"156","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS KOPERASI, USAHA KECIL MENENGAH DAN TRANSMIGRASI",72.91,70.24,93.46,70.49
"157","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS LINGKUNGAN HIDUP",67.68,71.25,76.56,70.49
"158","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PANGAN",72.52,71.65,90.96,70.49
"159","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PARIWISATA KEPEMUDAAN DAN OLAHRAGA",NA,67.45,NA,70.49
"160","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PEKERJAAN UMUM DAN PENATAAN RUANG",61.72,73.18,56.59,70.49
"161","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PEMBERDAYAAN MASYARAKAT DAN KUTE",71.73,71.49,88.71,70.49
"162","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU",NA,73.04,NA,70.49
"163","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PENDIDIKAN DAN KEBUDAYAAAN",70.19,66.72,88.42,70.49
"164","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",70.42,67.02,88.84,70.49
"165","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERDAGANGAN, PERINDUSTRIAN DAM TENAGA KERJA",70.28,63.66,91.54,70.49
"166","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERHUBUNGAN",72.27,76.47,85.71,70.49
"167","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERIKANAN",NA,71.8,NA,70.49
"168","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERPUSTAKAAN DAERAH",74.2,76.28,91.77,70.49
"169","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERTANAHAN",69.97,68.14,86.43,70.49
"170","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERTANIAN",NA,67.21,NA,70.49
"171","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN PERTAHANAN",69.15,67.21,84.78,70.49
"172","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS SOSIAL",72.09,68.17,92.87,70.49
"173","PEMERINTAH KABUPATEN ACEH TENGGARA","DINAS SYARIAT ISLAM",72.81,76.46,87.37,70.49
"174","PEMERINTAH KABUPATEN ACEH TENGGARA","KECAMATAN",71.64,72.79,87.2,70.49
"175","PEMERINTAH KABUPATEN ACEH TENGGARA","SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISABAH",72.51,70.84,91.67,70.49
"176","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT BAITUL MAL",67.21,64.77,81.15,70.49
"177","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT DAERAH",65.33,65.06,75.14,70.49
"178","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT DEWAN PENGURUS KORPRI",77.54,78.83,99.6,70.49
"179","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT DPRK",NA,69.09,NA,70.49
"180","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT MAJELIS ADAT ACEH",71.27,66.79,91.67,70.49
"181","PEMERINTAH KABUPATEN ACEH TENGGARA","SEKRETARIAT MAJELIS PENDIDIKAN DAERAH",NA,71.98,NA,70.49
"182","PEMERINTAH KABUPATEN ACEH TIMUR","BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA",NA,75.78,NA,62.46
"183","PEMERINTAH KABUPATEN ACEH TIMUR","BADAN KESATUAN BANGSA, PERLINDUNGAN MASYARAKAT DAN POLITIK",NA,68.43,NA,62.46
"184","PEMERINTAH KABUPATEN ACEH TIMUR","BADAN PENANGGULANGAN BENCANA DAERAH",NA,72.65,NA,62.46
"185","PEMERINTAH KABUPATEN ACEH TIMUR","BADAN PENGELOLAAN KEUANGAN DAERAH",NA,76.35,NA,62.46
"186","PEMERINTAH KABUPATEN ACEH TIMUR","BADAN PERENCANAAN PEMBANGUNAN DAERAH",NA,88.04,NA,62.46
"187","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",64.47,80.75,72.73,62.46
"188","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS KESEHATAN",NA,71.54,NA,62.46
"189","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS KETAHANAN PANGAN DAN PENYULUHAN",NA,55.02,NA,62.46
"190","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS KOMUNIKASI DAN INFORMATIKA",NA,71.07,NA,62.46
"191","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS LINGKUNGAN HIDUP",NA,58.94,NA,62.46
"192","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PEMBERDAYAAN MASYARAKAT DAN GAMPONG",NA,71.28,NA,62.46
"193","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERENCANA",64.14,65.43,85.97,62.46
"194","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PENANAMAN MODAL DAN PELAYANAN PERIZINAN TERPADU",66.53,78.54,81.06,62.46
"195","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PENDIDIKAN DAN KEBUDAYAAN",68.86,77.44,89.2,62.46
"196","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PENDIDIKAN DAYAH",NA,72.08,NA,62.46
"197","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERDAGANGAN, KOPERASI DAN USAHA KECIL MENENGAH",NA,80.84,NA,62.46
"198","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERHUBUNGAN",NA,55.47,NA,62.46
"199","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERIKANAN",66.24,72.32,85.97,62.46
"200","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERINDUSTRIAN, TENAGA KERJA DAN TRANSMIGRASI",NA,73.4,NA,62.46
"201","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERKEBUNAN DAN PETERNAKAN",NA,67.49,NA,62.46
"202","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERPUSTAKAAN DAN KEARSIPAN",NA,61.97,NA,62.46
"203","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS PERTANAHAN",NA,63.49,NA,62.46
"204","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS SOSIAL",NA,71.44,NA,62.46
"205","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS SYARIAT ISLAM",NA,70.23,NA,62.46
"206","PEMERINTAH KABUPATEN ACEH TIMUR","DINAS TANAMAN PANGAN DAN HORTIKULTURA",NA,74.33,NA,62.46
"207","PEMERINTAH KABUPATEN ACEH TIMUR","KECAMATAN",NA,75.42,NA,62.46
"208","PEMERINTAH KABUPATEN ACEH TIMUR","SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISBAH",NA,69.86,NA,62.46
"209","PEMERINTAH KABUPATEN ACEH TIMUR","SEKRETARIAT BAITUL MAL",NA,73.19,NA,62.46
"210","PEMERINTAH KABUPATEN ACEH TIMUR","SEKRETARIAT DAERAH",61.55,67.13,76.48,62.46
"211","PEMERINTAH KABUPATEN ACEH TIMUR","SEKRETARIAT DPRK",NA,72.99,NA,62.46
